Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
World,Panama,2009,20.2,4.7,-0.5,1.55,1.5,3360474,67814,15660,-1647,52155,50508
World,PapuaNewGuinea,2009,27.6,6.7,0,2.09,2.09,5940775,163787,39625,0,124162,124162
World,Paraguay,2009,18.4,4.6,-0.1,1.38,1.37,6290878,115501,28623,-503,86877,86374
World,Peru,2009,19.9,5.9,-3.6,1.4,1.05,28647373,570942,169020,-101698,401923,300224
World,Philippines,2009,26.4,6.1,-3.7,2.03,1.65,91586193,2414212,557760,-341616,1856452,1514836
World,Poland,2009,10.8,10,0,0.08,0.08,38587546,417517,385104,-1158,32414,31256
World,Portugal,2009,9.3,9.8,1.5,-0.05,0.1,10658391,99443,104452,15455,-5009,10445
World,PuertoRico,2009,(NA),(NA),(NA),(NA),(NA),3740697,(NA),(NA),(NA),(NA),(NA)
World,Qatar,2009,11.4,1.6,86.4,0.98,9.61,1568525,17834,2494,135442,15340,150782
World,Romania,2009,9.6,11.7,-0.3,-0.2,-0.23,22011818,211974,256658,-5943,-44684,-50627
World,Russia,2009,12.4,14.1,2.7,-0.17,0.09,142461491,1762249,2010132,377523,-247883,129640
World,Rwanda,2009,37.4,8.2,-11.6,2.93,1.77,9705671,363186,79198,-112780,283988,171208
World,SaintBarthelemy,2009,10.9,6,-10.6,0.48,-0.58,7448,81,45,-79,36,-43
World,"SaintHelena,Ascension,andTristandaCunha",2009,11.1,6.7,0,0.45,0.45,7637,85,51,0,34,34
World,SaintKittsandNevis,2009,14.3,7.2,1.3,0.72,0.84,49480,709,355,63,354,417
World,SaintLucia,2009,15.1,6.8,-4.1,0.83,0.42,160267,2420,1090,-664,1330,667
World,SaintMartin,2009,17,3.8,1.2,1.33,1.44,29820,508,113,35,395,430
World,SaintPierreandMiquelon,2009,8.8,8.3,-9.2,0.05,-0.87,5996,53,50,-55,3,-52
World,SaintVincentandtheGrenadines,2009,15.3,6.9,-11.8,0.84,-0.34,104574,1597,723,-1234,874,-360
World,Samoa,2009,24.2,6.1,-11.9,1.81,0.62,190897,4616,1166,-2268,3450,1182
World,SanMarino,2009,9.4,7.7,10,0.17,1.17,31120,292,239,311,53,364
World,SaoTomeandPrincipe,2009,39.9,8.7,-9.7,3.12,2.15,172103,6870,1497,-1675,5373,3698
World,SaudiArabia,2009,20.3,3.2,17,1.72,3.42,27035739,548826,85163,460148,463663,923811
World,Senegal,2009,37.8,9.7,-2.1,2.81,2.6,12008068,454025,116478,-24977,337547,312570
World,Serbia,2009,9.2,13.9,0,-0.47,-0.47,7379339,67816,102278,0,-34462,-34462
World,Seychelles,2009,15.9,6.9,1.1,0.89,1,87476,1388,606,92,782,874
World,SierraLeone,2009,39.1,12.2,-5.1,2.69,2.18,5132138,200564,62715,-26071,137849,111778
World,Singapore,2009,6.5,3.4,17.1,0.31,2.02,5035897,32633,17122,86215,15511,101725
