Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,SouthSudan,2009,43,12.8,18.2,3.02,4.84,9246358,397316,118261,168191,279055,447246
Africa,Sudan,2008,40.2,8.7,-2.2,3.15,2.93,33173036,1334883,288605,-74308,1046278,971970
Africa,Sudan,2009,39.3,8.5,-2.4,3.08,2.85,34144883,1342918,289890,-80923,1053028,972105
Africa,Tanzania,2008,40.4,10,-2.7,3.05,2.78,41967410,1696742,417995,-113732,1278747,1165015
Africa,Tanzania,2009,39.5,9.5,-4.7,3,2.53,43094715,1703534,410693,-203407,1292841,1089434
Africa,Togo,2008,36.4,8.5,2.2,2.79,3.01,6220348,226545,52935,13809,173610,187419
Africa,Togo,2009,36.2,8.3,0.6,2.78,2.84,6405008,231605,53418,3715,178187,181902
Africa,Tunisia,2008,17.8,6.2,-2.1,1.15,0.95,10307653,182961,64011,-21440,118950,97510
Africa,Tunisia,2009,18.8,6.3,-2.1,1.25,1.05,10411019,196144,65589,-21447,130554,109107
Africa,Uganda,2008,46.2,12.9,-2.9,3.33,3.03,29598626,1367161,382710,-87020,984450,897430
Africa,Uganda,2009,45.8,12.6,-2.2,3.32,3.1,30520924,1397553,383343,-67146,1014210,947064
Africa,WesternSahara,2008,33.5,9.5,9.2,2.4,3.32,460632,15431,4362,4238,11069,15307
Africa,WesternSahara,2009,33,9.3,8.7,2.37,3.24,476008,15718,4427,4151,11291,15442
Africa,Zambia,2008,44.1,14.7,-2.5,2.94,2.69,12337728,544341,181118,-31338,363223,331885
Africa,Zambia,2009,43.9,14.3,-2,2.96,2.75,12678115,556442,181677,-25863,374765,348902
Africa,Zimbabwe,2008,35.4,13.9,-14.6,2.15,0.68,12508701,442558,174121,-183127,268437,85309
Africa,Zimbabwe,2009,35.7,13.1,-13.9,2.25,0.87,12605986,449782,165643,-174845,284139,109294
Custom Region,Kenya,2008,38.1,9.1,1.4,2.9,3.04,38540806,1469176,351492,54728,1117683,1172411
Custom Region,Kenya,2009,36.8,8.5,1,2.83,2.93,39707699,1462832,337515,38516,1125316,1163833
