bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,69,13691,NOCODE_Belueli,belu1239,{},,language,,,Belueli,'Belueli [belu1239]-l-':1,16320,safe
False,0,0,0,,69,20387,bmb,bemb1255,{},-4.49057,language,29.0507,,Bembe,'Bembe [bemb1255][bmb]-l-':1,21769,definitely endangered
False,12,0,0,,69,20285,bem,bemb1257,{},-10.6122,language,29.2993,,Bemba (Zambia),"('Chishinga [chis1242]':1,'Kabende [kabe1244]':1,'Lembue [lemb1262]':1,'Lomotua [lomo1240]':1,'Luunda [luun1238]':1,'Mukula {Zambia} [muku1240]':1,'Ng''umbo [ngum1254]':1,'Ngoma [ngom1266]':1,'Nwesi [nwes1238]':1,'Town Bemba [town1238]':1,'Twa of Bangweulu [twao1242]':1,'Unga {Zambia} [unga1253]':1)'Bemba {Zambia} [bemb1257][bem]-l-':1",21608,safe
True,0,0,0,,334,334,bmy,bemb1258,{},-10.0,language,28.08,,Bemba (Democratic Republic of Congo),'Bemba {Democratic Republic of Congo} [bemb1258][bmy]-l-':1,1313,safe
False,0,0,0,,69,16151,yun,bena1260,{},9.74861,language,12.3972,,Bena (Nigeria),'Bena {Nigeria} [bena1260][yun]-l-':1,18167,safe
False,13,0,0,,69,18537,bez,bena1262,{},-9.26671,language,35.0364,,Bena (Tanzania),"('Ihanja [ihan1234]':1,'Ikuna [ikun1241]':1,'Itambo [itam1234]':1,'Itipula [itip1234]':1,'Kanamalenga [kana1293]':1,'Liwengi [liwe1234]':1,'Lwanzali [lwan1234]':1,'Makanjaula [maka1325]':1,'Ujindile [ujin1234]':1,'Ukalawa [ukal1234]':1,'Utalingoro [utal1238]':1,'Utengule [uten1234]':1,'Wangama [wang1302]':1)'Bena {Tanzania} [bena1262][bez]-l-':1",20315,safe
False,0,0,0,,145,5888,bef,bena1264,{},-6.09974,language,145.534,,Benabena,'Benabena [bena1264][bef]-l-':1,8450,vulnerable
False,3,0,0,,6,6,bcq,benc1235,{},7.04682,language,35.7673,,Bench,"('Mer {Bench} [merr1238]':1,'Nuclear Bench [nucl1433]':1,'She {Ethiopia} [shee1239]':1)'Bench [benc1235][bcq]-l-':1",440,vulnerable
False,0,0,0,,69,18546,bdp,bend1258,{},-6.22082,language,30.5926,,Bende,'Bende [bend1258][bdp]-l-':1,20334,definitely endangered
False,0,0,0,,211,4406,bct,bend1260,{},2.20229,language,30.3679,,Bendi,'Bendi [bend1260][bct]-l-':1,6534,safe
