bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,3,0,0,,207,6513,sdo,buka1257,{},0.96817,language,110.657,,Bukar-Sadung Bidayuh,"('Bukar Bidayuh [buka1258]':1,'Bukar Sadong [buka1259]':1,'Mentuh Tapuh [ment1250]':1)'Bukar-Sadung Bidayuh [buka1257][sdo]-l-':1",9347,vulnerable
False,0,0,0,,207,9071,blz,bala1315,{},-0.86809,language,123.289,,Balantak,'Balantak [bala1315][blz]-l-':1,11990,safe
False,2,0,0,,207,9071,bgz,bang1368,{},-1.58305,language,123.171,,Banggai,"('East Banggai [east2492]':1,'West Banggai [west2570]':1)'Banggai [bang1368][bgz]-l-':1",11991,definitely endangered
False,0,0,0,,207,9072,bzb,andi1257,{},-0.88368,language,123.174,,Andio,'Andio [andi1257][bzb]-l-':1,11992,definitely endangered
False,2,0,0,,207,9074,lje,ramp1243,{},-2.1399,language,120.356,,Rampi,"('Nuclear Rampi [nucl1569]':1,'Rato [rato1237]':1)'Rampi [ramp1243][lje]-l-':1",11997,vulnerable
False,7,0,0,,207,9074,ppk,umaa1242,{},-1.70416,language,119.968,,Uma,"('Bana {Austronesian} [bana1291]':1,'Benggaulu [beng1288]':1,'Kantewu [kant1250]':1,'Southern Uma [sout2927]':1,'Tobaku [toba1267]':1,'Tolee'' [tole1238]':1,'Winatu [wina1237]':1)'Uma [umaa1242][ppk]-l-':1",11998,safe
False,2,0,0,,207,9074,sdu,saru1242,{},-1.7094,language,119.349,,Sarudu,"('Kulu [kulu1257]':1,'Nunu'' [nunu1251]':1)'Sarudu [saru1242][sdu]-l-':1",11999,vulnerable
False,0,0,0,,207,9076,wlo,woli1241,{},-5.33,language,122.67,,Wolio,'Wolio [woli1241][wlo]-l-':1,12000,vulnerable
False,0,0,0,,207,9076,kgx,kama1364,{},-5.15696,language,123.045,,Kamaru,'Kamaru [kama1364][kgx]-l-':1,12001,vulnerable
False,2,0,0,,207,9077,lji,laiy1246,{},-6.45512,language,120.483,,Laiyolo,"('Barang-Barang [bara1372]':1,'Nuclear Laiyolo [nucl1577]':1)'Laiyolo [laiy1246][lji]-l-':1",12002,definitely endangered
False,0,0,0,,207,9077,kly,kala1394,{},-7.31213,language,120.995,,Kalao,'Kalao [kala1394][kly]-l-':1,12003,definitely endangered
False,0,0,0,,207,9078,tdj,taji1246,{},-0.31553,language,120.01,,Tajio,'Tajio [taji1246][tdj]-l-':1,12004,definitely endangered
False,0,0,0,,207,9078,bls,bala1314,{},-0.05644,language,119.689,,Balaesang,'Balaesang [bala1314][bls]-l-':1,12005,definitely endangered
False,0,0,0,,207,9078,pee,taje1237,{},-0.72583,language,120.078,,Taje,'Taje [taje1237][pee]-l-':1,12006,critically endangered
False,0,0,0,,207,9078,dms,damp1237,{},0.70234,language,120.219,,Dampelas,'Dampelas [damp1237][dms]-l-':1,12007,vulnerable
False,0,0,0,,207,9078,ums,pend1242,{},-0.11396,language,119.862,,Pendau,'Pendau [pend1242][ums]-l-':1,12008,definitely endangered
False,0,0,0,,207,9079,dok,dond1249,{},0.80348,language,120.707,,Dondo,'Dondo [dond1249][dok]-l-':1,12009,definitely endangered
False,0,0,0,,207,9079,txm,tomi1243,{},0.42569,language,120.89,,Tomini,'Tomini [tomi1243][txm]-l-':1,12010,definitely endangered
False,1,0,0,,207,9079,law,lauj1238,{},0.50708,language,120.262,,Lauje,('Ampibabo [ampi1237]':1)'Lauje [lauj1238][law]-l-':1,12011,definitely endangered
False,0,0,0,,207,9084,slm,pang1291,{},6.27167,language,120.536,,Pangutaran Sama,'Pangutaran Sama [pang1291][slm]-l-':1,12012,safe
False,3,0,0,,207,9089,mhy,maan1238,{},-2.1239,language,115.092,,Ma'anyan,"('Dusun Balangan [dusu1270]':1,'Samihim [sami1248]':1,'Sihong [siho1237]':1)'Ma''anyan [maan1238][mhy]-l-':1",12024,vulnerable
False,0,0,0,,207,9089,pku,paku1239,{},-1.9063,language,115.087,,Paku,'Paku [paku1239][pku]-l-':1,12025,severely endangered
False,0,0,0,,207,9111,kxn,kano1244,{},2.03781,language,112.383,,Kanowit-Tanjong Melanau,'Kanowit-Tanjong Melanau [kano1244][kxn]-l-':1,12090,definitely endangered
False,2,0,0,,207,9111,sdx,sibu1258,{},2.26758,language,111.763,,Sibu Melanau,"('Banyok [bany1246]':1,'Seduan [sedu1237]':1)'Sibu Melanau [sibu1258][sdx]-l-':1",12091,definitely endangered
False,0,0,0,,207,9113,kag,kaja1250,{},2.78613,language,113.886,,Kajaman,'Kajaman [kaja1250][kag]-l-':1,12092,vulnerable
False,0,0,0,,207,9113,lhn,laha1253,{},2.72734,language,113.947,,Lahanan,'Lahanan [laha1253][lhn]-l-':1,12093,vulnerable
False,2,0,0,,207,9114,pni,aohe1237,{},0.87404,language,114.127,,Aoheng-Seputan,"('Aoheng [aohe1238]':1,'Seputan [sepu1237]':1)'Aoheng-Seputan [aohe1237][pni]-l-':1",12094,vulnerable
False,0,0,0,,207,9114,xke,kere1285,{},0.64649,language,113.644,,Kereho,'Kereho [kere1285][xke]-l-':1,12095,vulnerable
False,2,0,0,,207,9114,hov,hovo1239,{},0.9841,language,113.897,,Hobongan,"('Nuclear Hovongan [nucl1559]':1,'Semukung Uheng [semu1241]':1)'Hobongan [hovo1239][hov]-l-':1",12096,vulnerable
False,0,0,0,,207,9116,bsb,brun1245,{},4.60791,language,114.517,,Brunei Bisaya,'Brunei Bisaya [brun1245][bsb]-l-':1,12100,safe
False,0,0,0,,207,9116,bsy,saba1267,{},5.30433,language,115.512,,Sabah Bisaya,'Sabah Bisaya [saba1267][bsy]-l-':1,12101,vulnerable
False,0,0,0,,207,9116,dtr,lotu1250,{},6.13732,language,116.232,,Lotud,'Lotud [lotu1250][dtr]-l-':1,12102,vulnerable
False,0,0,0,,207,9117,srk,seru1246,{},4.39954,language,117.279,,Serudung Murut,'Serudung Murut [seru1246][srk]-l-':1,12103,vulnerable
False,1,0,0,,207,9117,txa,tomb1244,{},6.2892,language,117.322,,Tombonuo,('Lingkabau Sugut [ling1266]':1)'Tombonuo [tomb1244][txa]-l-':1,12105,vulnerable
False,0,0,0,,207,9117,abf,abai1240,{},5.55394,language,118.306,,Abai Sungai,'Abai Sungai [abai1240][abf]-l-':1,12106,definitely endangered
False,0,0,0,,207,9118,tgb,tobi1239,{},6.56097,language,116.67,,Tobilung,'Tobilung [tobi1239][tgb]-l-':1,12108,vulnerable
False,0,0,0,,207,9118,kqt,klia1235,{},5.39453,language,115.582,,Klias River Kadazan,'Klias River Kadazan [klia1235][kqt]-l-':1,12110,vulnerable
False,4,0,0,,207,9118,kqr,kima1244,{},6.61982,language,116.96,,Kimaragang,"('Pitas Kimaragang [pita1246]':1,'Sandayo [sand1276]':1,'Sonsogon [sons1244]':1,'Tandek [tand1257]':1)'Kimaragang [kima1244][kqr]-l-':1",12111,vulnerable
False,0,0,0,,207,9118,dkr,kuij1237,{},5.47179,language,116.108,,Kuijau,'Kuijau [kuij1237][dkr]-l-':1,12112,vulnerable
