ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
1303,Bandial,Senegal,SEN,bqj,Vulnerable
1606,Bangani,India,IND,gbm,Critically endangered
978,Bangni,India,IND,,Vulnerable
2143,Bangsa,Vanuatu,VUT,,Critically endangered
681,Baniva,Venezuela (Bolivarian Republic of),VEN,bvv,Severely endangered
1767,BanÃ­wa do IÃ§ana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)","BRA, COL, VEN",bwi,Vulnerable
230,Banjima,Australia,AUS,pnw,Severely endangered
1477,Banka,Mali,MLI,bxw,Definitely endangered
964,Bantawa,Nepal,NPL,bap,Vulnerable
1769,Bara (Brazil),Brazil,BRA,"pok, bao",Vulnerable
1997,Bara (Colombia),Colombia,COL,"pok, bao",Critically endangered
1334,Baraba Tatar,Russian Federation,RUS,,Severely endangered
430,BarÄme,Nepal,NPL,brd,Critically endangered
2275,Baras,Indonesia,IDN,brs,Severely endangered
576,Barasana (Brazil),Brazil,BRA,bsn,Severely endangered
1999,Barasana (Colombia),Colombia,COL,bsn,Critically endangered
855,BarbareÃ±o,United States of America,USA,boi,Extinct
169,Bardi,Australia,AUS,bcj,Severely endangered
287,BarÃ© (Brazil),Brazil,BRA,"bae, mht",Critically endangered
1961,BarÃ© (Venezuela),Venezuela (Bolivarian Republic of),VEN,"bae, mht",Critically endangered
288,BarÃ­,Colombia,COL,mot,Vulnerable
1435,Bartangi,Tajikistan,TJK,sgh,Severely endangered
2205,Barzani Jewish Neo-Aramaic (Iraq),Iraq,IRQ,bjf,Extinct
2176,Barzani Jewish Neo-Aramaic (Israel),Israel,ISR,bjf,Critically endangered
2048,Basay,China,CHN,byq,Extinct
2301,Bashkardi,Iran (Islamic Republic of),IRN,bsg,Definitely endangered
1848,Bashkarik,Pakistan,PAK,"gwc, xka",Definitely endangered
334,Bashkir,Russian Federation,RUS,bak,Vulnerable
415,Basque,"Spain, France","ESP, FRA",eus,Vulnerable
1310,Bassari,Senegal,SEN,bsc,Vulnerable
2169,Bataan Ayta,Philippines,PHL,ayt,Definitely endangered
2166,Batak,Philippines,PHL,bya,Definitely endangered
