X,Y,LandArea,TotalLanguageRichness,ThreatenedLanguageRichness,ExtinctLanguageRichness,ProportionThreatened,ProportionExtinct
14376453.93,7236470.1,141.5893555,0,0,0,,
14569426.47,7236470.1,NA,0,0,0,,
14762399,7236470.1,NA,0,0,0,,
14955371.54,7236470.1,NA,0,0,0,,
15148344.08,7236470.1,24.7198925,0,0,0,,
15341316.61,7236470.1,3.183686018,0,0,0,,
15534289.15,7236470.1,NA,0,0,0,,
15727261.68,7236470.1,NA,0,0,0,,
15920234.22,7236470.1,NA,0,0,0,,
16113206.76,7236470.1,NA,0,0,0,,
16306179.29,7236470.1,NA,0,0,0,,
16499151.83,7236470.1,NA,0,0,0,,
16692124.36,7236470.1,NA,0,0,0,,
16885096.9,7236470.1,NA,0,0,0,,
17078069.44,7236470.1,NA,0,0,0,,
17271041.97,7236470.1,NA,0,0,0,,
-17271041.97,7043497.564,2801.321045,0,0,0,,
-17078069.44,7043497.564,264.2488098,0,0,0,,
-16885096.9,7043497.564,12.40530014,0,0,0,,
-16692124.36,7043497.564,NA,0,0,0,,
-16499151.83,7043497.564,NA,0,0,0,,
-16306179.29,7043497.564,NA,0,0,0,,
-16113206.76,7043497.564,NA,0,0,0,,
-15920234.22,7043497.564,NA,0,0,0,,
-15727261.68,7043497.564,NA,0,0,0,,
-15534289.15,7043497.564,NA,0,0,0,,
-15341316.61,7043497.564,NA,0,0,0,,
-15148344.08,7043497.564,322.0415649,1,0,0,0,0
-14955371.54,7043497.564,11.00173473,1,0,0,0,0
-14762399,7043497.564,NA,0,0,0,,
-14569426.47,7043497.564,NA,0,0,0,,
-14376453.93,7043497.564,NA,0,0,0,,
-14183481.4,7043497.564,NA,0,0,0,,
-13990508.86,7043497.564,NA,0,0,0,,
-13797536.32,7043497.564,NA,0,0,0,,
-13604563.79,7043497.564,NA,0,0,0,,
-13411591.25,7043497.564,NA,0,0,0,,
-13218618.72,7043497.564,NA,0,0,0,,
-13025646.18,7043497.564,NA,0,0,0,,
-12832673.64,7043497.564,NA,0,0,0,,
-12639701.11,7043497.564,NA,0,0,0,,
-12446728.57,7043497.564,NA,0,0,0,,
-12253756.04,7043497.564,0.343342036,0,0,0,,
-12060783.5,7043497.564,7605.314453,0,0,0,,
-11867810.96,7043497.564,23988.75586,0,0,0,,
-11674838.43,7043497.564,24257.83203,0,0,0,,
-11481865.89,7043497.564,17467.54492,0,0,0,,
-11288893.36,7043497.564,22756.21289,0,0,0,,
-11095920.82,7043497.564,24164.86133,0,0,0,,
-10902948.28,7043497.564,22592.37891,0,0,0,,
-10709975.75,7043497.564,17472.57031,0,0,0,,
-10517003.21,7043497.564,18531.5957,0,0,0,,
-10324030.68,7043497.564,21599.38672,0,0,0,,
-10131058.14,7043497.564,13694.06348,0,0,0,,
-9938085.604,7043497.564,4505.900391,0,0,0,,
-9745113.068,7043497.564,12293.78516,0,0,0,,
-9552140.532,7043497.564,26948.2207,0,0,0,,
-9359167.996,7043497.564,12205.71094,0,0,0,,
-9166195.46,7043497.564,22848.81445,0,0,0,,
-8973222.924,7043497.564,16196.09961,0,0,0,,
-8780250.388,7043497.564,15153.24512,0,0,0,,
-8587277.852,7043497.564,21477.57031,0,0,0,,
-8394305.316,7043497.564,24915.49023,0,0,0,,
-8201332.78,7043497.564,21154.58398,0,0,0,,
-8008360.244,7043497.564,27043.5293,0,0,0,,
-7815387.708,7043497.564,24476.2207,0,0,0,,
-7622415.172,7043497.564,17368.34961,0,0,0,,
-7429442.636,7043497.564,14995.32422,0,0,0,,
-7236470.1,7043497.564,7654.196289,0,0,0,,
-7043497.564,7043497.564,2916.784424,0,0,0,,
-6850525.028,7043497.564,955.6358643,0,0,0,,
-6657552.492,7043497.564,1602.308716,0,0,0,,
-6464579.956,7043497.564,2795.609131,0,0,0,,
-6271607.42,7043497.564,2451.00708,0,0,0,,
-6078634.884,7043497.564,1871.59729,0,0,0,,
-5885662.348,7043497.564,2773.716309,0,0,0,,
-5692689.812,7043497.564,5316.291016,0,0,0,,
-5499717.276,7043497.564,12816.71191,1,0,0,0,0
-5306744.74,7043497.564,31055.57227,1,0,0,0,0
-5113772.204,7043497.564,34801.24609,1,0,0,0,0
-4920799.668,7043497.564,36876.57813,0,0,0,,
-4727827.132,7043497.564,37238.39844,0,0,0,,
-4534854.596,7043497.564,37238.39844,0,0,0,,
-4341882.06,7043497.564,37238.39844,0,0,0,,
-4148909.524,7043497.564,37238.39844,0,0,0,,
-3955936.988,7043497.564,37238.39844,0,0,0,,
-3762964.452,7043497.564,37238.39844,0,0,0,,
-3569991.916,7043497.564,37238.39844,0,0,0,,
-3377019.38,7043497.564,37238.39844,0,0,0,,
-3184046.844,7043497.564,37238.39844,0,0,0,,
-2991074.308,7043497.564,37238.39844,0,0,0,,
-2798101.772,7043497.564,37012.14063,0,0,0,,
-2605129.236,7043497.564,35538.11328,0,0,0,,
-2412156.7,7043497.564,32986.25391,0,0,0,,
-2219184.164,7043497.564,30752.25977,0,0,0,,
-2026211.628,7043497.564,15300.79492,1,0,0,0,0
-1833239.092,7043497.564,4043.318115,1,0,0,0,0
-1640266.556,7043497.564,288.802887,0,0,0,,
-1447294.02,7043497.564,NA,0,0,0,,
-1254321.484,7043497.564,NA,0,0,0,,
-1061348.948,7043497.564,NA,0,0,0,,
-868376.412,7043497.564,NA,0,0,0,,
-675403.876,7043497.564,NA,0,0,0,,
-482431.34,7043497.564,NA,0,0,0,,
-289458.804,7043497.564,NA,0,0,0,,
-96486.268,7043497.564,NA,0,0,0,,
96486.268,7043497.564,NA,0,0,0,,
289458.804,7043497.564,NA,0,0,0,,
482431.34,7043497.564,NA,0,0,0,,
675403.876,7043497.564,NA,0,0,0,,
868376.412,7043497.564,NA,0,0,0,,
1061348.948,7043497.564,NA,0,0,0,,
1254321.484,7043497.564,NA,0,0,0,,
1447294.02,7043497.564,NA,0,0,0,,
1640266.556,7043497.564,19.44812012,0,0,0,,
1833239.092,7043497.564,185.1468048,0,0,0,,
